ADP,Overall,Name,Position,Team,Times Drafted,Std. Dev,High,Low,Bye
7.04,75.6,Rashaad Penny,RB,SEA,161,8.1,54,92,7
7.04,75.9,Julian Edelman,WR,NE,199,7.5,56,93,11
7.05,76.9,Kyle Rudolph,TE,MIN,132,7.6,57,110,10
7.06,78.1,Isaiah Crowell,RB,NYJ,202,8.7,55,97,11
7.07,78.7,Sony Michel,RB,NE,212,8.8,55,100,11
7.07,78.8,Michael Crabtree,WR,BAL,213,6.8,61,98,10
7.09,81.3,Carson Wentz,QB,PHI,99,9.7,57,105,9
7.10,82.1,Kirk Cousins,QB,MIN,127,8.0,62,100,10
7.11,82.9,Sammy Watkins,WR,KC,175,7.0,64,99,12
7.11,83.1,Delanie Walker,TE,TEN,127,7.9,63,111,8
7.11,83.4,Adrian Peterson,RB,WAS,309,9.9,57,102,4
7.12,84.3,Marlon Mack,RB,IND,176,8.3,62,104,9
